                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.36341,                0.26224,                0.79867,                0.99949,                      1,                  0.995,                0.97544,                 0.2705,                0.14649,                0.77363,               0.003565,               0.003565,               0.003565
                     68,                0.36392,                 0.2623,                0.79841,                0.99949,                      1,                  0.995,                0.97552,                0.27038,                0.14602,                0.77359,               0.003466,               0.003466,               0.003466
                     69,                0.36095,                0.25752,                0.79877,                0.99949,                      1,                  0.995,                0.97578,                0.27027,                 0.1462,                0.77356,               0.003367,               0.003367,               0.003367
                     70,                0.36088,                0.25795,                0.79793,                0.99949,                      1,                  0.995,                0.97578,                0.27017,                0.14619,                 0.7735,               0.003268,               0.003268,               0.003268
                     71,                0.35893,                0.25681,                0.79855,                0.99951,                      1,                  0.995,                0.97566,                 0.2699,                 0.1459,                0.77348,               0.003169,               0.003169,               0.003169
                     72,                0.35777,                 0.2558,                0.79742,                0.99951,                      1,                  0.995,                 0.9757,                0.26968,                0.14586,                0.77344,                0.00307,                0.00307,                0.00307
                     73,                0.35643,                0.25463,                0.79736,                0.99951,                      1,                  0.995,                0.97598,                0.26951,                0.14573,                 0.7734,               0.002971,               0.002971,               0.002971
                     74,                0.35614,                0.25312,                0.79771,                0.99951,                      1,                  0.995,                0.97592,                0.26927,                0.14559,                0.77335,               0.002872,               0.002872,               0.002872
                     75,                0.35384,                0.25082,                0.79689,                0.99951,                      1,                  0.995,                0.97587,                0.26909,                0.14542,                0.77333,               0.002773,               0.002773,               0.002773
                     76,                0.35329,                0.25079,                0.79673,                0.99951,                      1,                  0.995,                0.97594,                0.26908,                0.14531,                0.77329,               0.002674,               0.002674,               0.002674
                     77,                0.35254,                0.25021,                0.79751,                0.99952,                      1,                  0.995,                 0.9761,                0.26884,                0.14516,                0.77325,               0.002575,               0.002575,               0.002575
                     78,                0.35123,                0.24756,                0.79729,                0.99952,                      1,                  0.995,                 0.9763,                0.26863,                  0.145,                0.77322,               0.002476,               0.002476,               0.002476
                     79,                0.34965,                0.24579,                0.79539,                0.99951,                      1,                  0.995,                0.97632,                0.26857,                  0.145,                0.77317,               0.002377,               0.002377,               0.002377
                     80,                0.34824,                0.24539,                0.79598,                0.99951,                      1,                  0.995,                0.97633,                0.26842,                0.14483,                0.77313,               0.002278,               0.002278,               0.002278
